b_id,year,b_empl_w,b_loans_w,b_assets_w,b_cash_w,b_equity_w,b_deposits_w,b_net_income_w,b_z_score_w
DEFEB13621,1988,,92282.039,219719.16,10985.957,12084.553,185662.69,1098.5957,.97497052
DEFEB13912,1988,,3655028,6861829,198845.83,304311.03,5936811.5,16478.936,1.8543853
DEFEB13498,1988,,1986261.1,3160660,88986.258,124141.32,2924462,9887.3613,1.3607163
DEFEB13917,1988,,828341.19,1386427.9,53831.191,64817.148,1262286.5,4394.3828,1.2028737
DEFEB13898,1988,,5143625.5,8866766,198845.83,327381.53,7726424,18676.127,1.0197604
DEFEB13014,1988,,6591574.5,7101323,1098.5957,196648.64,,17577.531,1.9461143
DEFEB13240,1988,,861299.06,3070575,198845.83,116451.15,2854151.8,7690.1704,.68889898
DEFEB13309,1988,,427353.75,741552.13,13183.149,25267.703,643777.13,1098.5957,1.1100872
DEFEB13073,1988,,291127.88,662453.25,26366.299,30760.682,610819.25,4394.3828,1.1818739
DEFEB13257,1988,,92282.039,219719.16,6591.5747,24169.105,185662.69,3295.7874,1.5647031
DEFEB13910,1988,,1241413.3,1953303.3,52732.598,94479.234,1753358.8,4394.3828,1.4602857
DEFEB13055,1988,,586650.13,1866514.1,10985.957,50535.406,1795105.5,4394.3828,.10701648
DEFEB13266,1988,,162592.17,279043.31,13183.149,14281.745,257071.41,,
DEFEB13198,1988,,216423.36,324085.75,14281.745,16478.936,301015.25,1098.5957,.62335712
DEFEB13773,1988,,1790711.1,3427618.8,106563.79,98873.617,3138688,3295.7874,1.2299496
DEFEB13729,1988,,1382033.5,2728911.8,90084.852,128535.7,2468544.8,5492.9785,1.2995014
DEFEB13178,1988,,103268,219719.16,16478.936,12084.553,185662.69,,
DEFEB13222,1988,,2199388.8,3586915,62619.957,175775.31,3297984.5,8788.7656,.73179817
DEFEB43723,1988,,736059.13,1178793.3,18676.127,46141.02,1102990.1,0,.28125957
DEFEB13416,1988,,421860.78,723974.63,21971.914,38450.852,662453.25,2197.1914,1.8864836
DEFEB13209,1988,,92282.039,322987.16,5492.9785,47239.617,269155.97,2197.1914,.82314312
DEFEB13724,1988,,1056849.1,2140064.5,92282.039,106563.79,1887387.5,7690.1704,1.7646965
DEFEB13565,1988,,328480.13,2256515.8,4394.3828,169183.75,2020317.6,0,.52086449
DEFEB13885,1988,,2829982.8,4309791,161493.58,149409.02,3769282,9887.3613,1.6037859
DEFEB13458,1988,,452621.44,819552.44,38450.852,28563.49,760228.25,2197.1914,1.9461143
DEFEB14024,1988,,9100767,10380631,1098.5957,206536,,17577.531,1.7113273
DEFEB13258,1988,,279043.31,681129.38,21971.914,32957.871,639382.75,3295.7874,1.3205141
DEFEB13542,1988,,744847.94,1190877.8,35155.063,48338.211,1026088.4,2197.1914,1.9461143
DEFEB13087,1988,,933806.38,1709415,102169.41,84591.875,1453442.1,,
DEFEB13617,1988,,522931.56,1075525.3,45042.426,79098.891,956876.88,,
DEFEB13862,1988,,1934627.1,3725338.3,160394.98,190057.06,3402351,8788.7656,1.1863981
DEFEB41397,1988,,108760.98,219719.16,6591.5747,12084.553,185662.69,0,1.2366211
DEFEB13244,1988,,484480.72,645974.31,6591.5747,35155.063,572368.38,2197.1914,.42239854
DEFEB13236,1988,,1131553.6,1511667.8,6591.5747,46141.02,473494.78,0,.14964242
DEFEB15367,1988,,234000.89,14083997,80197.492,516340,11206775,35155.063,1.1659684
DEFEB13393,1988,,849214.5,1275469.6,30760.682,45042.426,1112877.5,3295.7874,1.4886779
DEFEB14006,1988,,562481,1000820.8,50535.406,47239.617,928313.38,2197.1914,1.5202549
DEFEB43859,1988,,1233723,17305080,4394.3828,429550.94,9823643,23070.51,1.944941
DEFEB13048,1988,,92282.039,228507.92,3295.7874,19774.723,205437.41,0,.10701648
DEFEB13978,1988,,825045.38,1195272.1,53831.191,51634,1051356.1,3295.7874,1.8384005
DEFEB46445,1988,,10023588,21060080,166986.55,504255.44,11206775,19774.723,1.5758638
DEFEB15378,1988,,654763.06,1319413.5,12084.553,69211.531,1232624.4,2197.1914,.60851389
DEFEB13000,1988,,203240.22,394395.88,18676.127,12084.553,361438,1098.5957,.83299106
DEFEB13192,1988,,204338.81,339466.09,7690.1704,19774.723,315296.97,,
DEFEB13172,1988,,10234518,16550345,198845.83,326282.94,6778336,3295.7874,.10701648
DEFEB42965,1988,,499861.06,1239216,9887.3613,71408.727,1152427,0,.10701648
DEFEB13021,1988,,92282.039,645974.31,3295.7874,43943.828,584452.94,5492.9785,1.3956867
DEFEB13207,1988,,335071.69,608622.06,18676.127,30760.682,553692.25,,
DEFEB13561,1988,,141718.84,617410.81,3295.7874,24169.105,580058.56,1098.5957,.10701648
DEFEB13298,1988,,541607.69,637185.56,2197.1914,32957.871,571269.81,0,.20466529
DEFEB13604,1988,,10234518,21060080,3295.7874,444931.28,,40648.043,1.8157336
DEFEB13535,1988,,140620.25,627298.19,14281.745,52732.598,558086.63,0,.10701648
DEFEB13102,1988,,1151328.4,1191976.4,3295.7874,62619.957,1087609.8,3295.7874,1.2220564
DEFEB44016,1988,,1282061.3,8795358,12084.553,429550.94,4627285.5,40648.043,1.7889917
DEFEB13842,1988,,1362258.8,2472939,90084.852,83493.273,2190600,5492.9785,.92122436
DEFEB13540,1988,,4609708,4952469.5,2197.1914,127437.11,,14281.745,1.2314129
DEFEB13116,1988,,491072.31,1131553.6,73605.914,56028.383,1045863.1,,
DEFEB13796,1988,,769017,1267779.5,53831.191,45042.426,1151328.4,2197.1914,1.5194075
DEFEB14282,1988,,128535.7,454818.63,5492.9785,58225.574,366930.97,4394.3828,.53377444
DEFEB13960,1988,,1070032.3,2145557.5,75803.109,64817.148,1956599,4394.3828,1.6454688
DEFEB13437,1988,,3836296.3,6572898.5,198845.83,303212.44,5721486.5,36253.66,1.6261063
DEFEB13588,1988,,10234518,21060080,3295.7874,444931.28,,40648.043,.32724044
DEFEB13863,1988,,1673161.4,3107927.3,128535.7,154902,2635531.3,8788.7656,1.9461143
DEFEB13083,1988,,276846.13,588847.31,14281.745,21971.914,513044.22,2197.1914,1.1169544
DEFEB14806,1988,,92282.039,219719.16,3295.7874,12084.553,185662.69,0,.99945974
DEFEB41402,1988,,6066445.5,6595969,7690.1704,416367.78,5769825,23070.51,1.193004
DEFEB13285,1988,,798679.13,1397413.8,56028.383,57126.98,1218342.6,3295.7874,1.3202789
DEFEB13418,1988,,1039271.6,1562203.1,59324.172,49436.809,1438061.9,3295.7874,1.1485749
DEFEB13605,1988,,5208442.5,5475401,7690.1704,124141.32,,9887.3613,1.2581956
DEFEB13328,1988,,10234518,21060080,43943.828,516340,11206775,40648.043,.65230525
DEFEB13476,1988,,1044764.6,1600654,52732.598,57126.98,1519357.9,5492.9785,1.9414928
DEFEB45918,1988,,7111210.5,10833253,130732.89,516340,8877752,40648.043,1.9461143
DEFEB13727,1988,,1017299.7,1812683,73605.914,76901.703,1640203.5,6591.5747,1.7862056
DEFEB13106,1989,,23846544,44721556,435448.06,1484325,16345431,80638.531,2.0162582
DEFEB41402,1989,,5843990,6524809.5,6911.8745,455031.72,5630873.5,25343.539,1.2529186
DEFEB43723,1989,,859376.38,1416934.3,27647.498,48383.121,1329383.9,0,.25601786
DEFEB47438,1989,,3400642.3,3895993.3,12671.77,172796.86,3492800.5,9215.832,.93909067
DEFEB45918,1989,,8138732,12563484,317946.22,588661.31,10337860,47231.141,2.0162582
DEFEB13244,1989,,540278.19,732658.69,10367.812,36863.328,653172.13,0,.094577946
DEFEB43337,1989,,208508.2,596725.13,34559.371,26495.518,517238.59,3455.9373,1.5309091
DEFEB13955,1989,,1930716.9,3129927,143997.39,133629.58,2750926,8063.8535,1.9817358
DEFEB13812,1989,,1873118,3022793,93310.305,130173.63,2661071.8,5759.8955,1.6307906
DEFEB13570,1989,,4303794,7598454,173948.84,241915.61,6732165.5,14975.728,1.0788786
DEFEB13540,1989,,4998437,5306015.5,3455.9373,145149.36,,16127.707,1.2563678
DEFEB13524,1989,,238459.67,338681.84,575.9895,29951.455,298362.56,1151.979,1.4070702
DEFEB15447,1989,,14175102,23781456,11519.791,491895.06,8108780.5,27647.498,1.5933236
DEFEB13582,1989,,661236,2750926,12671.77,273019.03,2261335,1151.979,.80897099
DEFEB13213,1989,,3610302.5,5759895.5,179708.73,182012.69,4781865,10367.812,.74497801
DEFEB13535,1989,,311034.34,884719.94,11519.791,55294.996,808689.31,1151.979,.094577946
DEFEB13124,1989,,1161194.9,2856908,132477.59,125565.72,2711758.8,8063.8535,1.7112756
DEFEB13964,1989,,1342055.6,1924957,84094.469,67966.766,1651938,4607.916,.60997069
DEFEB13605,1989,,5478812.5,5741463.5,9215.832,137085.52,,12671.77,1.3627458
DEFEB13246,1989,,537974.25,544886.13,1151.979,38015.309,494199.03,1151.979,.89975691
DEFEB14104,1989,,7417593,13349133,258043.31,524150.47,10614335,14975.728,.76263082
DEFEB13289,1989,,9677776,16354647,435448.06,817905.13,13127953,42623.227,.93623704
DEFEB13912,1989,,4010039,7490168,320250.19,334073.94,6248334.5,13823.749,1.6666048
DEFEB13727,1989,,1138155.4,1989467.9,82942.492,82942.492,1783263.6,3455.9373,1.2687628
DEFEB13963,1989,,10061385,10612031,4607.916,215420.08,,17279.686,1.5683837
DEFEB13973,1989,,1403110.5,3261252.8,172796.86,202748.31,2820044.8,16127.707,1.4540045
DEFEB45292,1989,,749938.38,11285939,138237.48,353657.56,10668478,6911.8745,.76670855
DEFEB13021,1989,,84094.469,588661.31,5759.8955,61054.891,512630.69,0,.37050328
DEFEB13247,1989,,23846544,44721556,435448.06,1484325,16345431,80638.531,.58555913
DEFEB13876,1989,,620916.69,1098988,46079.164,36863.328,961902.5,1151.979,.85626978
DEFEB13000,1989,,262651.22,465399.53,20735.623,15551.717,427384.22,1151.979,.88647985
DEFEB13498,1989,,2279766.5,3635646,133629.58,140541.45,3302724,10367.812,1.3171049
DEFEB13389,1989,,2127705.3,3383362.5,104830.09,104830.09,3061960.3,6911.8745,1.1822797
DEFEB13978,1989,,944622.81,1352423.4,61054.891,55294.996,1163498.9,2303.958,1.6553094
DEFEB13898,1989,,5618202,9570642,326010.06,349049.66,8106476.5,5759.8955,.52621591
DEFEB13552,1989,,820209.06,2134617.3,104830.09,58750.934,1889245.6,,
DEFEB14024,1989,,9985355,11946023,8063.8535,236155.7,,19583.645,1.710776
DEFEB13073,1989,,370937.25,767218.06,44927.184,34559.371,713075.06,4607.916,1.1514584
DEFEB41397,1989,,118653.84,209084.19,6911.8745,15551.717,182012.69,0,1.3656589
DEFEB13615,1989,,1131243.5,1831646.8,87550.406,71422.703,1739488.4,,
DEFEB13621,1989,,82942.492,209084.19,11519.791,15551.717,182012.69,1151.979,.95542115
DEFEB13207,1989,,390520.91,724594.81,29951.455,38015.309,656628.06,,
DEFEB13236,1989,,2065498.5,2641488,4607.916,80638.531,800625.44,0,.14966263
DEFEB13216,1989,,23846544,44721556,435448.06,1484325,16345431,80638.531,.72926259
DEFEB13568,1989,,8837983,9471572,3455.9373,140541.45,,10367.812,1.513397
DEFEB13617,1989,,597877.13,1251049.3,65662.805,82942.492,1125483.5,,
DEFEB14002,1989,,286842.78,678515.69,32255.414,56446.973,604789,3455.9373,.73303097
DEFEB13048,1989,,82942.492,270715.09,12671.77,20735.623,245371.55,0,.094577946
DEFEB13271,1989,,300666.53,539126.19,26495.518,21887.602,459639.66,1151.979,2.0162582
DEFEB13018,1989,,185468.63,638196.38,1151.979,47231.141,537974.25,0,.094577946
DEFEB13393,1989,,944622.81,1419238.3,42623.227,50687.078,1218793.9,3455.9373,1.4613061
DEFEB13910,1989,,1340903.6,2115033.5,69118.742,101374.16,1842014.5,3455.9373,1.2779132
DEFEB13165,1989,,1020653.4,1496420.8,31103.436,65662.805,1237225.5,1151.979,.41208264
DEFEB13230,1989,,5666585,6167696,3455.9373,118653.84,,6911.8745,.89901316
DEFEB13166,1989,,14967664,18331442,59902.91,1320168,16345431,41471.246,1.0204883
DEFEB13326,1989,,603637,987246.06,69118.742,41471.246,865136.25,2303.958,.7391088
DEFEB13588,1989,,20045588,22108782,3455.9373,496502.97,,46079.164,.35504714
DEFEB43859,1989,,903151.56,19114788,11519.791,468855.47,10372419,25343.539,1.9433132
DEFEB13561,1989,,132477.59,681971.63,14975.728,38015.309,632436.5,1151.979,.1401443
DEFEB41437,1989,,312186.31,346745.69,575.9895,25343.539,313338.31,1151.979,1.8847963
DEFEB15027,1989,,321402.16,471159.44,14975.728,18431.664,397432.78,1151.979,.71031672
DEFEB13285,1989,,952686.69,1662305.8,96766.242,65662.805,1448037.6,3455.9373,1.3694335
DEFEB41244,1989,,290298.72,413560.47,575.9895,31103.436,370937.25,2303.958,.88016158
DEFEB15379,1989,,1382374.9,2836172.5,116349.88,593269.19,2120793.5,3455.9373,.094577946
DEFEB14033,1989,,6293261.5,6562824.5,13823.749,157821.13,,11519.791,1.4017314
DEFEB14903,1989,,4898215,8425575,435448.06,364025.38,7066239.5,21887.602,1.9234023
DEFEB13862,1989,,2125401.3,4091829.8,241915.61,206204.25,3704764.8,6911.8745,1.0300807
DEFEB13209,1989,,82942.492,306426.44,8063.8535,49535.102,245371.55,2303.958,.86121213
DEFEB13724,1989,,1173866.6,2346581.3,92158.328,112893.95,2056282.6,2303.958,1.0226066
DEFEB13670,1989,,573685.56,845552.63,33407.395,42623.227,764914.13,2303.958,1.571141
DEFEB14806,1989,,82942.492,209084.19,1151.979,15551.717,182012.69,0,.95403618
DEFEB13313,1989,,180860.72,377849.13,14975.728,27647.498,346745.69,1151.979,1.1545826
DEFEB13312,1989,,7906032.5,8683618,10367.812,184316.66,,12671.77,2.0162582
DEFEB13232,1989,,748786.38,1254505.3,11519.791,47231.141,1183082.5,1151.979,.40873852
DEFEB14105,1989,,82942.492,209084.19,575.9895,29951.455,182012.69,0,.094577946
DEFEB13325,1989,,4716202.5,5659673,135933.53,313338.31,5130915,29951.455,.40533745
DEFEB13231,1989,,23846544,26178724,20735.623,541430.19,,38015.309,2.0162582
DEFEB13263,1989,,6293261.5,10283717,284538.84,390520.91,8796512,17279.686,.99108744
DEFEB13258,1989,,340985.81,775281.94,24191.561,34559.371,731506.69,3455.9373,1.2219644
DEFEB13656,1989,,1568995.5,3166790.5,96766.242,120957.8,2811981,4607.916,1.4699851
DEFEB13190,1989,,23846544,44721556,435448.06,1484325,16345431,80638.531,.59030885
DEFEB13542,1989,,859376.38,1335143.8,61054.891,51839.059,1119723.6,2303.958,1.7844403
DEFEB13178,1989,,118653.84,209084.19,18431.664,15551.717,193532.48,,
DEFEB13458,1989,,478071.31,885871.88,39167.289,32255.414,808689.31,2303.958,2.0162582
DEFEB41688,1989,,738418.56,1835102.6,71422.703,70270.727,1714144.9,,
DEFEB13515,1989,,1232617.6,1608162.8,1151.979,59902.91,1519460.4,2303.958,.54406166
